Team,Player,College,Draft_Year,Pro_height_inches,Pro_weight_lb,Date of Birth
NYK,slavko-vranes,,2003,89.0,275.0,1/30/1983
GSW,derrick-zimmerman,Mississippi State,2003,75.0,195.0,12/2/1981
SEA,willie-green,Detroit Mercy,2003,76.0,200.0,7/28/1981
ORL,zaza-pachulia,,2003,83.0,270.0,2/10/1984
MIL,keith-bogans,Kentucky,2003,77.0,215.0,5/12/1980
HOU,malick-badiane,,2003,,,
CHI,matt-bonner,Florida,2003,82.0,235.0,4/5/1980
DEN,sani-becirovic,,2003,77.0,210.0,5/19/1981
UTA,mo-williams,Alabama,2003,73.0,198.0,12/19/1982
NOH,james-lang,,2003,82.0,285.0,10/17/1983
IND,james-jones,Miami (FL),2003,80.0,218.0,10/4/1980
PHI,paccelis-morlende,,2003,74.0,185.0,4/19/1981
NJN,kyle-korver,Creighton,2003,79.0,212.0,3/17/1981
TOR,remon-van-de-hare,,2003,,,
CHI,tommy-smith,Arizona State,2003,,,
POR,nedzad-sinanovic,,2003,88.0,250.0,1/29/1983
MIN,rick-rickert,Minnesota,2003,,,
BOS,brandon-hunter,Ohio University,2003,79.0,260.0,11/24/1980
DAL,xue-yuyang,,2003,84.0,265.0,11/4/1982
DET,andreas-glyniadakis,,2003,85.0,280.0,8/21/1981
ORL,dwight-howard,,2004,82.0,265.0,12/8/1985
CHA,emeka-okafor,UConn,2004,82.0,252.0,9/28/1982
CHI,ben-gordon,UConn,2004,75.0,200.0,4/4/1983
LAC,shaun-livingston,,2004,79.0,192.0,9/11/1985
WAS,devin-harris,Wisconsin,2004,75.0,185.0,2/27/1983
ATL,josh-childress,Stanford,2004,80.0,210.0,6/20/1983
PHO,luol-deng,Duke,2004,81.0,237.0,4/16/1985
TOR,rafael-araujo,BYU,2004,83.0,280.0,8/12/1980
PHI,andre-iguodala,Arizona,2004,78.0,215.0,1/28/1984
CLE,luke-jackson,Oregon,2004,79.0,215.0,11/6/1981
GSW,andris-biedrins,,2004,83.0,240.0,4/2/1986
SEA,robert-swift,,2004,84.0,245.0,12/3/1985
POR,sebastian-telfair,,2004,72.0,165.0,6/9/1985
UTA,kris-humphries,Minnesota,2004,81.0,235.0,2/6/1985
BOS,al-jefferson,,2004,82.0,289.0,1/4/1985
UTA,kirk-snyder,Nevada,2004,78.0,225.0,6/5/1983
ATL,josh-smith,,2004,81.0,225.0,12/5/1985
NOH,j.r.-smith,,2004,78.0,225.0,9/9/1985
MIA,dorell-wright,,2004,81.0,205.0,12/2/1985
DEN,jameer-nelson,Saint Joseph's,2004,72.0,190.0,2/9/1982
UTA,pavel-podkolzin,,2004,89.0,260.0,1/15/1985
NJN,viktor-khryapa,,2004,81.0,210.0,8/3/1982
POR,sergei-monia,,2004,80.0,220.0,4/15/1983
BOS,delonte-west,Saint Joseph's,2004,76.0,180.0,7/26/1983
BOS,tony-allen,Oklahoma State,2004,76.0,213.0,1/11/1982
SAC,kevin-martin,Western Carolina University,2004,79.0,199.0,2/1/1983
LAL,sasha-vujacic,,2004,79.0,195.0,3/8/1984
SAS,beno-udrih,,2004,75.0,205.0,7/5/1982
IND,david-harrison,Colorado,2004,84.0,280.0,8/15/1982
ORL,anderson-varejao,,2004,82.0,273.0,9/28/1982
CHI,jackson-vroman,Iowa State,2004,82.0,220.0,6/6/1981
WAS,peter-john-ramos,,2004,87.0,275.0,5/13/1985
LAC,lionel-chalmers,Xavier,2004,72.0,180.0,11/10/1980
ATL,donta-smith,Southeastern Illinois College,2004,79.0,215.0,11/27/1983
SEA,andre-emmett,Texas Tech,2004,77.0,230.0,8/27/1982
ORL,antonio-burks,Memphis,2004,73.0,200.0,2/25/1980
ATL,royal-ivey,Texas,2004,75.0,200.0,12/20/1981
CHI,chris-duhon,Duke,2004,73.0,185.0,8/31/1982
TOR,albert-miralles,,2004,82.0,243.0,5/14/1982
BOS,justin-reed,Ole Miss,2004,80.0,240.0,1/16/1982
SEA,david-young,NC Central,2004,,,
ATL,viktor-sanikidze,,2004,80.0,220.0,4/1/1986
NYK,trevor-ariza,UCLA,2004,80.0,215.0,6/30/1985
NOH,tim-pickett,Florida State,2004,,,
CHA,bernard-robinson,Michigan,2004,78.0,210.0,12/26/1980
POR,ha-seung-jin,,2004,87.0,305.0,8/4/1985
MIA,pape-sow,Cal State Fullerton,2004,82.0,250.0,11/22/1981
SAC,ricky-minard,Morehead State University,2004,,,
MEM,sergei-lishouk,,2004,83.0,250.0,3/31/1982
DAL,vassilis-spanoulis,,2004,76.0,195.0,8/7/1982
NJN,christian-drejer,Florida,2004,,,
SAS,romain-sato,Xavier,2004,,,
MIA,matt-freije,Vanderbilt,2004,82.0,240.0,10/2/1981
DET,rickey-paulding,Missouri,2004,,,
HOU,luis-flores,Manhattan College,2004,74.0,200.0,4/11/1981
LAL,marcus-douthit,Providence,2004,,,
SAS,sergei-karaulov,,2004,85.0,249.0,4/15/1982
MIN,blake-stepp,Gonzaga,2004,,,
IND,rashad-wright,Georgia,2004,,,
MIL,andrew-bogut,Utah,2005,84.0,260.0,11/28/1984
ATL,marvin-williams,UNC,2005,80.0,237.0,6/19/1986
UTA,deron-williams,Illinois,2005,75.0,200.0,6/26/1984
NOH,chris-paul,Wake Forest,2005,72.0,175.0,5/6/1985
CHA,raymond-felton,UNC,2005,73.0,205.0,6/26/1984
POR,martell-webster,,2005,79.0,230.0,12/4/1986
TOR,charlie-villanueva,UConn,2005,83.0,232.0,8/24/1984
NYK,channing-frye,Arizona,2005,84.0,255.0,5/17/1983
GSW,ike-diogu,Arizona State,2005,80.0,250.0,9/11/1983
LAL,andrew-bynum,,2005,84.0,285.0,10/27/1987
ORL,fran-vazquez,,2005,82.0,240.0,5/1/1983
LAC,yaroslav-korolev,,2005,81.0,203.0,5/7/1987
CHA,sean-may,UNC,2005,81.0,266.0,4/4/1984
MIN,rashad-mccants,UNC,2005,76.0,207.0,9/25/1984
NJN,antoine-wright,Texas A&M,2005,79.0,210.0,2/6/1984
TOR,joey-graham,Oklahoma State,2005,79.0,225.0,6/11/1982
IND,danny-granger,New Mexico,2005,81.0,222.0,4/20/1983
BOS,gerald-green,,2005,78.0,205.0,1/26/1986
MEM,hakim-warrick,Syracuse,2005,81.0,219.0,7/8/1982
DEN,julius-hodge,NC State,2005,79.0,210.0,11/18/1983
PHO,nate-robinson,Washington,2005,69.0,180.0,5/31/1984
DEN,jarrett-jack,Georgia Tech,2005,75.0,200.0,10/28/1983
SAC,francisco-garcia,Louisville,2005,79.0,195.0,12/31/1981
HOU,luther-head,Illinois,2005,75.0,185.0,11/26/1982
SEA,johan-petro,,2005,84.0,247.0,1/27/1986
DET,jason-maxiell,Cincinnati,2005,79.0,260.0,2/18/1983
POR,linas-kleiza,Missouri,2005,80.0,245.0,1/3/1985
SAS,ian-mahinmi,,2005,83.0,262.0,11/5/1986
MIA,wayne-simien,Kansas,2005,81.0,255.0,3/9/1983
NYK,david-lee,Florida,2005,81.0,245.0,4/29/1983
ATL,salim-stoudamire,Arizona,2005,73.0,179.0,10/11/1982
LAC,daniel-ewing,Duke,2005,75.0,185.0,3/26/1983
NOH,brandon-bass,LSU,2005,80.0,250.0,4/30/1985
UTA,c.j.-miles,,2005,78.0,220.0,3/18/1987
POR,ricky-sanchez,,2005,83.0,230.0,7/6/1987
MIL,ersan-ilyasova,,2005,81.0,235.0,5/15/1987
LAL,ronny-turiaf,Gonzaga,2005,82.0,249.0,1/13/1983
ORL,travis-diener,Marquette,2005,73.0,175.0,3/1/1982
LAL,von-wafer,Florida State,2005,77.0,210.0,7/21/1985
GSW,monta-ellis,,2005,75.0,185.0,10/26/1985
TOR,roko-ukic,,2005,77.0,183.0,5/12/1984
GSW,chris-taft,Pitt,2005,82.0,260.0,3/10/1985
NJN,mile-ilic,,2005,85.0,230.0,6/2/1984
ORL,martynas-andriuskevicius,,2005,86.0,240.0,3/12/1986
PHI,lou-williams,,2005,73.0,175.0,10/27/1986
IND,erazem-lorbek,,2005,82.0,250.0,2/21/1984
MIN,bracey-wright,Indiana,2005,75.0,210.0,7/1/1984
SEA,mickael-gelabale,,2005,79.0,215.0,5/22/1983
WAS,andray-blatche,,2005,83.0,235.0,8/22/1986
BOS,ryan-gomes,Providence,2005,79.0,250.0,9/1/1982
UTA,robert-whaley,Walsh University,2005,82.0,260.0,4/16/1982
DEN,axel-hervelle,,2005,81.0,223.0,12/5/1983
BOS,orien-greene,Louisiana,2005,76.0,208.0,2/4/1982
NYK,dijon-thompson,UCLA,2005,79.0,195.0,2/23/1983
SEA,lawrence-roberts,Mississippi State,2005,81.0,240.0,10/20/1982
DET,amir-johnson,,2005,81.0,240.0,5/1/1987
PHO,marcin-gortat,,2005,83.0,240.0,2/17/1984
TOR,uros-slokar,,2005,82.0,238.0,5/14/1983
ATL,cenk-akyol,,2005,78.0,195.0,4/16/1987
DET,alex-acker,Pepperdine,2005,77.0,185.0,1/21/1983
TOR,andrea-bargnani,,2006,84.0,245.0,10/26/1985
CHI,lamarcus-aldridge,Texas,2006,83.0,250.0,7/19/1985
CHA,adam-morrison,Gonzaga,2006,80.0,205.0,7/19/1984
POR,tyrus-thomas,LSU,2006,81.0,215.0,8/17/1986
ATL,shelden-williams,Duke,2006,81.0,250.0,10/21/1983
MIN,brandon-roy,Washington,2006,78.0,215.0,7/23/1984
BOS,randy-foye,Villanova,2006,76.0,213.0,9/24/1983
HOU,rudy-gay,UConn,2006,80.0,250.0,8/17/1986
GSW,patrick-o'bryant,Bradley,2006,84.0,260.0,6/20/1986
SEA,mouhamed-sene,,2006,83.0,230.0,5/12/1986
ORL,j.j.-redick,Duke,2006,75.0,200.0,6/24/1984
NOK,hilton-armstrong,UConn,2006,83.0,235.0,11/11/1984
PHI,thabo-sefolosha,,2006,78.0,215.0,5/2/1984
UTA,ronnie-brewer,Arkansas,2006,79.0,220.0,3/20/1985
NOK,cedric-simmons,NC State,2006,81.0,235.0,1/3/1986
CHI,rodney-carney,Memphis,2006,79.0,205.0,4/15/1984
IND,shawne-williams,Memphis,2006,81.0,225.0,2/16/1986
WAS,oleksiy-pecherov,,2006,84.0,232.0,12/8/1985
SAC,quincy-douby,Rutgers University,2006,75.0,175.0,5/16/1984
NYK,renaldo-balkman,South Carolina,2006,80.0,208.0,7/14/1984
PHO,rajon-rondo,Kentucky,2006,73.0,180.0,2/22/1986
NJN,marcus-williams,UConn,2006,75.0,205.0,12/3/1985
NJN,josh-boone,UConn,2006,82.0,237.0,11/21/1984
MEM,kyle-lowry,Villanova,2006,72.0,196.0,3/25/1986
CLE,shannon-brown,Michigan State,2006,76.0,205.0,11/29/1985
LAL,jordan-farmar,UCLA,2006,74.0,180.0,11/30/1986
PHO,sergio-rodriguez,,2006,75.0,176.0,6/12/1986
DAL,maurice-ager,Michigan State,2006,77.0,202.0,2/9/1984
NYK,mardy-collins,Temple,2006,78.0,220.0,8/4/1984
POR,joel-freeland,,2006,82.0,250.0,2/7/1987
POR,james-white,Cincinnati,2006,79.0,200.0,10/21/1982
HOU,steve-novak,Marquette,2006,82.0,225.0,6/13/1983
ATL,solomon-jones,South Florida,2006,82.0,230.0,7/16/1984
LAC,paul-davis,Michigan State,2006,83.0,270.0,7/21/1984
TOR,p.j.-tucker,Texas,2006,77.0,245.0,5/5/1985
MIN,craig-smith,Boston College,2006,79.0,250.0,11/10/1983
MIN,bobby-jones,Washington,2006,79.0,215.0,1/9/1984
GSW,kosta-perovic,,2006,86.0,240.0,2/19/1985
MIL,david-noel,UNC,2006,78.0,230.0,2/27/1984
SEA,denham-brown,UConn,2006,,,
ORL,james-augustine,Illinois,2006,82.0,235.0,2/27/1984
CLE,daniel-gibson,Texas,2006,74.0,190.0,2/27/1986
NOK,marcus-vinicius,,2006,80.0,225.0,5/31/1984
ORL,lior-eliyahu,,2006,81.0,225.0,9/9/1985
IND,alexander-johnson,Florida State,2006,81.0,240.0,2/8/1983
UTA,dee-brown,Illinois,2006,72.0,185.0,8/17/1984
UTA,paul-millsap,Louisiana Tech,2006,79.0,257.0,2/10/1985
WAS,vladimir-veremeenko,,2006,82.0,235.0,7/21/1984
DEN,leon-powe,California,2006,80.0,240.0,1/22/1984
CHA,ryan-hollins,UCLA,2006,84.0,240.0,10/10/1984
LAL,cheikh-samb,,2006,85.0,245.0,10/22/1984
LAC,guillermo-diaz,Miami (FL),2006,74.0,192.0,3/4/1985
SEA,yotam-halperin,,2006,77.0,210.0,1/24/1984
NJN,hassan-adams,Arizona,2006,76.0,220.0,6/20/1984
CLE,ejike-ugboaja,,2006,81.0,225.0,5/28/1985
TOR,edin-bavcic,,2006,82.0,242.0,6/5/1984
MIN,loukas-mavrokefalidis,,2006,,,
DAL,j.r.-pinnock,George Washington,2006,,,
SAS,damir-markota,,2006,82.0,225.0,12/26/1985
DET,will-blalock,Iowa State,2006,72.0,205.0,9/8/1983
POR,greg-oden,Ohio State,2007,84.0,250.0,1/22/1988
SEA,kevin-durant,Texas,2007,82.0,240.0,9/29/1988
ATL,al-horford,Florida,2007,81.0,240.0,6/3/1986
MEM,mike-conley,Ohio State,2007,73.0,175.0,10/11/1987
BOS,jeff-green,Georgetown,2007,80.0,235.0,8/28/1986
MIL,yi-jianlian,,2007,84.0,240.0,10/27/1987
MIN,corey-brewer,Florida,2007,81.0,186.0,3/5/1986
CHA,brandan-wright,UNC,2007,82.0,210.0,10/5/1987
CHI,joakim-noah,Florida,2007,83.0,230.0,2/25/1985
SAC,spencer-hawes,Washington,2007,85.0,245.0,4/28/1988
ATL,acie-law,Texas A&M,2007,75.0,195.0,1/25/1985
PHI,thaddeus-young,Georgia Tech,2007,80.0,235.0,6/21/1988
NOK,julian-wright,Kansas,2007,80.0,225.0,5/20/1987
LAC,al-thornton,Florida State,2007,80.0,220.0,12/7/1983
DET,rodney-stuckey,Eastern Washington,2007,77.0,210.0,4/21/1986
WAS,nick-young,USC,2007,79.0,210.0,6/1/1985
NJN,sean-williams,Boston College,2007,82.0,235.0,9/13/1986
GSW,marco-belinelli,,2007,77.0,220.0,3/25/1986
LAL,javaris-crittenton,Georgia Tech,2007,77.0,200.0,12/31/1987
MIA,jason-smith,Colorado State,2007,84.0,240.0,3/2/1986
PHI,daequan-cook,Ohio State,2007,77.0,205.0,4/28/1987
CHA,jared-dudley,Boston College,2007,78.0,237.0,7/10/1985
NYK,wilson-chandler,DePaul,2007,80.0,235.0,5/10/1987
PHO,rudy-fernandez,,2007,78.0,185.0,4/4/1985
UTA,morris-almond,Rice University,2007,78.0,225.0,2/2/1985
HOU,aaron-brooks,Oregon,2007,72.0,161.0,1/14/1985
DET,arron-afflalo,UCLA,2007,77.0,210.0,10/15/1985
SAS,tiago-splitter,,2007,83.0,245.0,1/1/1985
PHO,alando-tucker,Wisconsin,2007,78.0,205.0,2/11/1984
PHI,petteri-koponen,,2007,76.0,195.0,4/13/1988
SEA,carl-landry,Purdue,2007,81.0,248.0,9/19/1983
BOS,gabe-pruitt,USC,2007,76.0,170.0,4/19/1986
SAS,marcus-williams,Arizona,2007,79.0,205.0,11/18/1986
DAL,nick-fazekas,Nevada,2007,83.0,235.0,6/17/1985
SEA,glen-davis,LSU,2007,81.0,289.0,1/1/1986
GSW,jermareo-davidson,Alabama,2007,82.0,230.0,11/15/1984
POR,josh-mcroberts,Duke,2007,82.0,240.0,2/28/1987
PHI,kyrylo-fesenko,,2007,85.0,288.0,12/24/1986
MIA,stanko-barac,,2007,85.0,240.0,8/14/1986
LAL,sun-yue,,2007,81.0,205.0,11/6/1985
MIN,chris-richard,Florida,2007,81.0,270.0,12/25/1984
POR,derrick-byars,Vanderbilt,2007,79.0,220.0,4/25/1984
NOK,adam-haluska,Iowa,2007,,,
ORL,reyshawn-terry,UNC,2007,,,
LAC,jared-jordan,Marist College,2007,,,
GSW,stephane-lasme,UMass,2007,80.0,215.0,12/17/1982
WAS,dominic-mcguire,Fresno State,2007,81.0,220.0,10/20/1985
LAL,marc-gasol,,2007,83.0,255.0,1/29/1985
CHI,aaron-gray,Pitt,2007,84.0,270.0,12/7/1984
DAL,renaldas-seibutis,,2007,78.0,185.0,7/23/1985
CHI,jameson-curry,Oklahoma State,2007,75.0,190.0,1/7/1986
POR,taurean-green,Florida,2007,72.0,177.0,11/28/1986
POR,demetris-nichols,Syracuse,2007,80.0,216.0,9/4/1984
HOU,brad-newley,,2007,78.0,205.0,2/18/1985
UTA,herbert-hill,Providence,2007,,,
MIL,ramon-sessions,Nevada,2007,75.0,190.0,4/11/1986
DET,sammy-mejia,DePaul,2007,,,
SAS,georgios-printezis,,2007,81.0,240.0,2/22/1985
PHO,d.j.-strawberry,Maryland,2007,77.0,201.0,6/15/1985
DAL,milovan-rakovic,,2007,82.0,280.0,2/19/1985
CHI,derrick-rose,Memphis,2008,74.0,200.0,10/4/1988
MIA,michael-beasley,Kansas State,2008,81.0,235.0,1/9/1989
MIN,o.j.-mayo,USC,2008,77.0,210.0,11/5/1987
SEA,russell-westbrook,UCLA,2008,75.0,200.0,11/12/1988
MEM,kevin-love,UCLA,2008,80.0,251.0,9/7/1988
NYK,danilo-gallinari,,2008,82.0,233.0,8/8/1988
LAC,eric-gordon,Indiana,2008,75.0,215.0,12/25/1988
MIL,joe-alexander,West Virginia,2008,80.0,230.0,12/26/1986
CHA,d.j.-augustin,Texas,2008,71.0,183.0,11/10/1987
NJN,brook-lopez,Stanford,2008,84.0,282.0,4/1/1988
IND,jerryd-bayless,Arizona,2008,75.0,200.0,8/20/1988
SAC,jason-thompson,Rider University,2008,83.0,250.0,7/21/1986
POR,brandon-rush,Kansas,2008,78.0,220.0,7/7/1985
GSW,anthony-randolph,LSU,2008,82.0,205.0,7/15/1989
PHO,robin-lopez,Stanford,2008,84.0,281.0,4/1/1988
PHI,marreese-speights,Florida,2008,82.0,255.0,8/4/1987
TOR,roy-hibbert,Georgetown,2008,86.0,270.0,12/11/1986
WAS,javale-mcgee,Nevada,2008,84.0,270.0,1/19/1988
CLE,j.j.-hickson,NC State,2008,81.0,242.0,9/4/1988
CHA,alexis-ajinca,,2008,86.0,248.0,5/6/1988
NJN,ryan-anderson,California,2008,81.0,240.0,5/6/1988
ORL,courtney-lee,Western Kentucky,2008,77.0,215.0,10/3/1985
UTA,kosta-koufos,Ohio State,2008,84.0,245.0,2/24/1989
SEA,serge-ibaka,,2008,82.0,235.0,9/18/1989
HOU,nicolas-batum,,2008,80.0,230.0,12/14/1988
SAS,george-hill,IUPUI,2008,76.0,188.0,5/4/1986
NOH,darrell-arthur,Kansas,2008,81.0,235.0,3/25/1988
MEM,donte-greene,Syracuse,2008,83.0,226.0,2/21/1988
DET,d.j.-white,Indiana,2008,81.0,251.0,8/31/1986
BOS,j.r.-giddens,New Mexico,2008,77.0,215.0,2/13/1985
MIN,nikola-pekovic,,2008,83.0,307.0,1/3/1986
SEA,walter-sharpe,UAB,2008,81.0,245.0,7/18/1986
POR,joey-dorsey,Memphis,2008,80.0,268.0,12/16/1983
MIN,mario-chalmers,Kansas,2008,74.0,190.0,5/19/1986
LAC,deandre-jordan,Texas A&M,2008,83.0,265.0,7/21/1988
POR,omer-ask,,2008,84.0,255.0,7/4/1986
MIL,luc-mbah-a-moute,UCLA,2008,80.0,230.0,9/9/1986
CHA,kyle-weaver,Washington State,2008,78.0,201.0,2/18/1986
CHI,sonny-weems,Arkansas,2008,78.0,205.0,7/8/1986
NJN,chris-douglas-roberts,Memphis,2008,79.0,200.0,1/8/1987
IND,nathan-jawai,,2008,82.0,280.0,10/10/1986
SAC,sean-singletary,Virginia,2008,72.0,185.0,9/6/1985
SAC,patrick-ewing,Georgetown,2008,80.0,235.0,5/20/1984
UTA,ante-tomic,,2008,86.0,265.0,2/17/1987
SAS,goran-dragic,,2008,75.0,190.0,5/6/1986
SEA,trent-plaisted,Brigham Young University Hawaii,2008,,,
WAS,henry-walker,Kansas State,2008,78.0,220.0,10/9/1987
PHO,malik-hairston,Oregon,2008,78.0,220.0,2/23/1987
GSW,richard-hendrix,Alabama,2008,,,
SEA,devon-hardin,California,2008,83.0,250.0,8/7/1986
DAL,shan-foster,Vanderbilt,2008,,,
MIA,darnell-jackson,Kansas,2008,81.0,253.0,11/7/1985
UTA,tadija-dragicevic,,2008,81.0,222.0,1/28/1986
HOU,maarty-leunen,Oregon,2008,81.0,220.0,9/3/1985
POR,mike-taylor,Iowa State,2008,74.0,165.0,1/21/1986
SEA,sasha-kaun,Kansas,2008,83.0,260.0,5/8/1985
SAS,james-gist,Maryland,2008,,,
LAL,joe-crawford,Kentucky,2008,77.0,210.0,6/17/1986
DET,deron-washington,Virginia Tech,2008,,,
BOS,semih-erden,,2008,84.0,240.0,7/28/1986
LAC,blake-griffin,Oklahoma,2009,81.0,250.0,3/16/1989
MEM,hasheem-thabeet,UConn,2009,87.0,263.0,2/16/1987
OKC,james-harden,Arizona State,2009,77.0,220.0,8/26/1989
SAC,tyreke-evans,Memphis,2009,78.0,220.0,9/19/1989
MIN,ricky-rubio,,2009,75.0,190.0,10/21/1990
MIN,jonny-flynn,Syracuse,2009,72.0,185.0,2/6/1989
GSW,stephen-curry,Davidson,2009,75.0,185.0,3/14/1988
NYK,jordan-hill,Arizona,2009,82.0,235.0,7/27/1987
TOR,demar-derozan,USC,2009,78.0,220.0,8/7/1989
MIL,brandon-jennings,,2009,73.0,170.0,9/23/1989
NJN,terrence-williams,Louisville,2009,78.0,220.0,6/28/1987
CHA,gerald-henderson,Duke,2009,77.0,215.0,12/9/1987
IND,tyler-hansbrough,UNC,2009,81.0,250.0,11/3/1985
PHO,earl-clark,Louisville,2009,82.0,225.0,1/17/1988
DET,austin-daye,Gonzaga,2009,83.0,220.0,6/5/1988
CHI,james-johnson,Wake Forest,2009,79.0,240.0,2/20/1987
PHI,jrue-holiday,UCLA,2009,75.0,205.0,6/12/1990
MIN,ty-lawson,UNC,2009,71.0,195.0,11/3/1987
ATL,jeff-teague,Wake Forest,2009,75.0,195.0,6/10/1988
UTA,eric-maynor,VCU,2009,75.0,175.0,6/11/1987
NOH,darren-collison,UCLA,2009,72.0,175.0,8/23/1987
POR,victor-claver,,2009,81.0,224.0,8/30/1988
SAC,omri-casspi,,2009,81.0,225.0,6/22/1988
DAL,byron-mullens,Ohio State,2009,84.0,275.0,2/14/1989
OKC,rodrigue-beaubois,,2009,72.0,170.0,2/24/1988
CHI,taj-gibson,USC,2009,81.0,232.0,6/24/1985
MEM,demarre-carroll,Missouri,2009,78.0,215.0,7/27/1986
MIN,wayne-ellington,UNC,2009,76.0,207.0,11/29/1987
LAL,toney-douglas,Florida State,2009,74.0,195.0,3/16/1986
CLE,christian-eyenga,,2009,77.0,210.0,6/22/1989
SAC,jeff-ayres,Arizona State,2009,81.0,240.0,4/29/1987
WAS,jermaine-taylor,Central Florida,2009,76.0,210.0,12/8/1986
POR,dante-cunningham,Villanova,2009,80.0,230.0,4/22/1987
DEN,sergio-llull,,2009,75.0,190.0,11/15/1987
DET,dajuan-summers,Georgetown,2009,80.0,230.0,1/24/1988
MEM,sam-young,Pitt,2009,78.0,220.0,6/1/1985
SAS,dejuan-blair,Pitt,2009,79.0,270.0,4/22/1989
POR,jon-brockman,Washington,2009,79.0,255.0,3/20/1987
DET,jonas-jerebko,,2009,82.0,231.0,3/2/1987
CHA,derrick-brown,Xavier,2009,79.0,225.0,9/8/1987
MIL,jodie-meeks,Kentucky,2009,76.0,210.0,8/21/1987
LAL,patrick-beverley,Arkansas,2009,73.0,180.0,7/12/1988
MIA,marcus-thornton,LSU,2009,76.0,205.0,6/5/1987
DET,chase-budinger,Arizona,2009,79.0,209.0,5/22/1988
MIN,nick-calathes,Florida,2009,78.0,213.0,2/7/1989
CLE,danny-green,UNC,2009,78.0,215.0,6/22/1987
MIN,henk-norel,,2009,83.0,230.0,9/17/1987
PHO,taylor-griffin,Oklahoma,2009,79.0,238.0,4/18/1986
ATL,sergiy-gladyr,,2009,77.0,190.0,10/17/1989
UTA,goran-suton,Michigan State,2009,,,
SAS,jack-mcclinton,Miami (FL),2009,,,
IND,a.j.-price,UConn,2009,74.0,181.0,10/7/1986
SAS,nando-de-colo,,2009,77.0,200.0,6/23/1987
CHA,robert-vaden,UAB,2009,,,
POR,patty-mills,Saint Mary's,2009,73.0,180.0,8/11/1988
DAL,ahmad-nivins,Saint Joseph's,2009,,,
PHO,emir-preldzic,,2009,81.0,220.0,9/6/1987
BOS,lester-hudson,University of Tennessee at Martin,2009,75.0,190.0,8/7/1984
LAL,chinemelu-elonu,Texas A&M,2009,82.0,235.0,3/11/1987
MIA,robert-dozier,Memphis,2009,,,
WAS,john-wall,Kentucky,2010,75.0,210.0,9/6/1990
PHI,evan-turner,Ohio State,2010,78.0,220.0,10/27/1988
NJN,derrick-favors,Georgia Tech,2010,80.0,265.0,7/15/1991
MIN,wesley-johnson,Syracuse,2010,79.0,215.0,7/11/1987
SAC,demarcus-cousins,Kentucky,2010,82.0,270.0,8/13/1990
GSW,ekpe-udoh,Baylor,2010,82.0,245.0,5/20/1987
DET,greg-monroe,Georgetown,2010,83.0,265.0,6/4/1990
LAC,al-farouq-aminu,Wake Forest,2010,80.0,220.0,9/21/1990
